price,mrp,discount_percent,rating,review_count,fraud
7047,13919,49.37,1.7,9677,0
1036,3899,73.41,1.6,16155,0
976,4320,77.39,1.9,9880,0
3931,9471,58.49,1.6,4747,0
2424,3329,27.16,2.3,10685,0
3599,6897,47.82,2.4,5537,0
309,1429,78.37,4.9,7721,0
14181,16945,16.31,4.4,6929,0
3602,9732,62.98,1.5,19082,0
5791,19149,69.75,1.8,3328,0
4260,8998,52.65,1.7,12161,0
5128,5589,8.25,3.0,13582,0
6086,14700,58.6,3.8,1324,0
4263,11992,64.44,3.3,19076,0
5774,6654,13.22,4.3,19413,0
6083,9355,34.97,3.7,6279,0
4921,17030,71.1,3.0,2238,0
1695,1888,10.21,4.7,1141,0
3531,7759,54.49,3.3,11820,0
6942,10800,35.72,4.4,10938,0
14859,16524,10.07,1.8,19122,0
8695,13623,36.17,1.6,6780,0
7927,12716,37.66,3.7,19214,0
3153,5434,41.97,4.7,22,0
2089,5364,61.05,2.4,7650,0
2074,4667,55.55,1.9,12735,0
10761,19895,45.91,1.6,18877,0
9802,19711,50.27,2.1,3452,0
2818,3085,8.65,4.6,5403,0
7298,8377,12.88,2.9,1736,0
5010,13478,62.82,3.4,15338,0
910,1820,49.97,4.4,8615,0
16200,18949,14.5,3.2,5017,0
1562,2522,38.06,2.6,2090,0
4275,4862,12.06,2.6,7337,0
430,1818,76.3,3.6,18931,0
13388,18850,28.97,4.5,18874,0
15421,18727,17.65,2.3,7192,0
1286,4968,74.11,4.4,2085,0
4150,12880,67.77,1.6,10300,0
2528,16137,84.33,2.5,17833,1
1027,2310,55.54,4.4,13278,0
2595,8172,68.24,4.2,406,0
3343,5962,43.93,3.1,1114,0
2808,5774,51.37,3.5,4917,0
3185,15087,78.89,2.1,6526,0
2231,12366,81.95,4.7,19862,0
1625,3164,48.63,4.1,3759,0
1327,6829,80.57,4.5,6595,0
7004,13373,47.62,2.6,10119,0
11157,18512,39.73,2.7,4624,0
6347,8983,29.34,4.0,11689,0
2188,2603,15.93,1.7,16148,0
2576,3276,21.36,2.2,15155,0
10537,15627,32.57,2.0,17785,0
7205,9971,27.74,2.9,2029,0
5241,9524,44.97,3.6,4717,0
7184,18453,61.07,3.6,4191,0
3749,9126,58.92,1.9,9106,0
2500,3682,32.08,4.0,7151,0
7478,15369,51.34,1.6,11138,0
2573,9098,71.72,3.9,768,0
10281,12358,16.8,2.0,18757,0
5613,16798,66.58,2.8,4933,0
7598,19514,61.06,3.6,19515,0
6531,15081,56.69,4.4,9123,0
3844,9047,57.51,4.3,17873,0
4373,5381,18.72,2.5,9904,0
4005,4843,17.28,3.1,16540,0
5487,5985,8.32,3.5,17941,0
2099,6936,69.73,1.8,3912,0
10730,19551,45.11,4.3,14458,0
9983,17869,44.13,2.7,4570,0
11631,16852,30.98,3.5,3452,0
1500,4029,62.75,2.4,5508,0
7313,10725,31.81,1.8,5825,0
2024,13775,85.3,1.9,16627,1
1481,4468,66.84,3.3,5343,0
5447,8376,34.96,4.1,4274,0
3133,5153,39.2,2.6,14047,0
6171,17605,64.94,2.8,16536,0
1520,6958,78.15,3.7,17865,0
11366,13301,14.54,3.7,6583,0
4215,8945,52.87,1.6,6053,0
8075,19186,57.91,4.8,18082,0
8467,10753,21.26,4.9,878,0
4244,16805,74.74,2.0,4210,0
1631,5349,69.5,2.8,9476,0
2875,7765,62.97,3.7,17393,0
8692,13009,33.18,3.7,13396,0
564,3241,82.58,4.9,16931,0
9339,14892,37.28,2.8,7086,0
1419,2997,52.65,1.7,1811,0
5715,6229,8.24,2.5,11774,0
3360,8885,62.18,4.9,9850,0
4486,16152,72.22,3.6,19788,0
3654,15833,76.92,1.9,18509,0
2565,17805,85.59,3.5,17297,0
2186,6469,66.2,4.2,115,0
4716,5285,10.76,3.6,12688,0
330,3302,89.98,4.2,10602,0
1648,5167,68.1,4.5,2533,0
3054,3230,5.45,4.7,13385,0
1180,8759,86.52,1.6,951,1
1758,6320,72.18,3.3,12576,0
13511,17117,21.06,3.2,8399,0
4121,5255,21.56,1.9,19015,0
3629,8124,55.33,2.9,10430,0
5587,13989,60.06,1.8,3218,0
7425,9043,17.89,5.0,15343,0
4013,17649,77.26,4.4,17461,0
6063,12559,51.72,3.5,11778,0
14451,15362,5.93,1.6,4086,0
3066,8849,65.34,2.3,1121,0
3652,8029,54.51,4.0,15646,0
4867,17755,72.59,4.2,8850,0
5178,6022,14.01,4.1,19741,0
12523,16345,23.38,2.8,4040,0
2784,7494,62.84,3.4,379,0
9928,17845,44.36,4.5,3758,0
11447,16109,28.94,4.2,3519,0
14439,17277,16.42,2.8,3302,0
8762,18011,51.35,2.8,3602,0
5786,10394,44.33,2.5,2210,0
5326,12423,57.12,2.0,9275,0
455,1016,55.19,4.9,2498,0
776,1929,59.74,2.7,12618,0
14434,15208,5.08,4.0,10771,0
5287,14660,63.93,2.6,19182,0
5460,17208,68.27,4.3,5294,0
1472,2536,41.95,1.7,4924,0
6704,14720,54.45,1.7,263,0
6535,8173,20.04,3.5,7462,0
659,6297,89.52,3.9,2981,0
8424,12124,30.52,1.8,18208,0
5360,16798,68.09,3.1,13730,0
3821,14437,73.53,3.8,996,0
6764,8228,17.79,4.1,10676,0
11110,12121,8.34,1.9,18488,0
5586,9511,41.27,3.9,8404,0
11724,14091,16.79,3.7,14293,0
4008,4380,8.49,4.2,15390,0
3652,5635,35.18,4.1,7475,0
1453,5422,73.19,1.5,6961,0
1053,2740,61.55,2.2,6213,0
4003,11704,65.79,2.1,1018,0
3668,11281,67.48,2.0,3416,0
7359,15169,51.48,2.1,15733,0
1575,1688,6.64,1.8,5270,0
2949,5534,46.7,1.9,11116,0
4740,6132,22.7,1.7,13435,0
6309,11873,46.86,3.3,1506,0
10071,14816,32.02,4.8,15413,0
7356,12289,40.13,3.3,13241,0
1943,12344,84.25,3.0,12429,0
2086,2878,27.5,4.2,2726,0
5730,12163,52.88,2.7,17598,0
9675,19107,49.36,4.4,1337,0
3206,6318,49.24,3.5,17064,0
4713,13990,66.31,3.3,12716,0
11246,15019,25.12,1.7,12399,0
2899,7577,61.73,2.7,10385,0
6674,9119,26.8,4.6,11564,0
4595,15139,69.64,3.0,4980,0
11726,18425,36.36,2.3,2946,0
3262,7274,55.14,2.8,5257,0
1853,2493,25.66,1.8,8931,0
5616,11936,52.95,3.6,306,0
1596,2181,26.78,2.5,15365,0
2235,2361,5.32,4.4,19754,0
11001,15568,29.33,2.4,7444,0
3729,5021,25.71,1.7,16833,0
1940,8689,77.66,4.5,10454,0
11994,17127,29.96,1.8,8674,0
9432,12880,26.77,4.9,8177,0
1260,4598,72.58,4.7,19229,0
7940,15547,48.93,4.1,13503,0
5500,8111,32.18,2.2,13534,0
3832,10112,62.1,2.9,16299,0
839,3735,77.53,2.8,13828,0
6357,7513,15.39,4.0,10477,0
1258,5710,77.96,3.2,7558,0
878,1433,38.71,2.0,5116,0
1927,8892,78.32,2.4,2577,0
4771,5364,11.05,3.4,8291,0
9017,13779,34.56,4.3,15355,0
9193,12647,27.31,2.8,4843,0
2817,7171,60.71,3.5,3862,0
7844,19091,58.91,2.2,18143,0
1464,10228,85.68,3.5,2733,0
15230,18809,19.02,3.3,18186,0
2509,2735,8.26,4.5,11199,0
8795,12778,31.17,5.0,5447,0
8315,12818,35.12,3.2,19623,0
3194,4950,35.47,2.8,4251,0
3749,17134,78.12,3.4,18589,0
7192,9397,23.46,3.6,1680,0
922,1495,38.27,3.3,18064,0
4271,9221,53.68,2.9,17932,0
3899,12705,69.3,3.2,17430,0
962,5149,81.31,4.7,19899,0
8554,11706,26.92,4.3,366,0
2802,3464,19.08,3.3,3752,0
2004,3296,39.2,4.4,13999,0
4591,4853,5.38,3.1,17989,0
2449,5095,51.93,4.4,9737,0
10472,18211,42.49,2.5,10430,0
15845,16738,5.33,1.7,240,0
9980,12740,21.66,4.3,19795,0
3010,7693,60.87,2.5,11635,0
4073,11171,63.54,3.0,555,0
4166,8836,52.84,3.3,11748,0
1977,8898,77.78,2.1,1077,0
3681,16339,77.47,3.4,2483,0
4620,18150,74.54,4.5,1760,0
12046,14420,16.46,4.3,14459,0
2387,5074,52.95,3.2,18606,0
1951,12958,84.94,2.9,6475,1
8944,11404,21.56,1.7,62,0
4578,19304,76.28,3.2,11156,0
1677,15200,88.96,2.7,5401,1
2136,3833,44.27,3.2,9112,0
4546,5352,15.05,2.9,7280,0
7305,8767,16.67,3.9,4143,0
9102,14217,35.98,2.2,14363,0
3931,6787,42.07,4.8,9169,0
4716,10631,55.63,3.8,5173,0
2402,2719,11.64,4.3,14078,0
3193,12702,74.86,4.1,16216,0
6721,11971,43.85,4.2,17982,0
8963,19454,53.93,3.7,5991,0
6367,17594,63.81,2.7,7577,0
4073,5859,30.47,3.2,18657,0
4735,5112,7.36,4.1,14782,0
2583,13549,80.93,4.7,18913,0
355,1886,81.13,4.6,14326,0
2705,11755,76.98,2.5,8602,0
6608,10689,38.17,2.2,3068,0
9191,12125,24.2,1.6,1635,0
14174,17251,17.84,2.1,6428,0
6923,14256,51.43,2.8,10404,0
10192,11363,10.3,4.9,3721,0
11154,12168,8.33,3.2,3123,0
1585,1698,6.65,4.8,12951,0
2915,15354,81.01,2.0,4267,1
8987,10684,15.88,1.7,3292,0
2875,3323,13.46,4.0,2423,0
189,1011,81.22,2.2,7747,1
6034,14105,57.22,4.0,12537,0
8493,10876,21.9,4.1,17046,0
3128,6004,47.89,3.0,4277,0
948,3040,68.81,4.1,1679,0
4605,16774,72.54,3.1,2087,0
7685,14325,46.35,2.9,4307,0
2965,7169,58.64,3.6,3890,0
1004,3876,74.08,3.9,6749,0
8127,14769,44.97,3.1,16412,0
1236,8331,85.16,4.8,12959,0
1597,5991,73.34,3.1,11590,0
2219,9464,76.55,2.6,16448,0
17597,19835,11.28,3.6,19933,0
5083,5756,11.67,2.0,11261,0
1845,12189,84.86,4.8,10227,0
1956,4939,60.4,1.7,13604,0
3042,10669,71.48,3.3,7049,0
2487,5011,50.37,1.9,12084,0
3987,7202,44.64,2.5,1760,0
8298,18682,55.58,2.0,12951,0
1429,1988,28.11,2.5,15823,0
1652,7073,76.64,2.7,18384,0
2726,11628,76.55,4.6,8240,0
7586,7988,5.03,4.7,13496,0
9327,15394,39.41,2.9,2244,0
12015,14973,19.75,4.4,1612,0
2140,3538,39.49,4.1,3707,0
3060,3437,10.94,3.9,4573,0
1587,2341,32.18,2.8,7516,0
1899,3664,48.17,3.5,2209,0
370,1143,67.56,4.6,7085,0
8143,13499,39.67,3.4,5633,0
794,5021,84.18,2.5,2030,1
9733,14644,33.54,2.7,11587,0
854,6806,87.45,3.3,5603,0
5067,15947,68.23,3.3,10531,0
4832,17863,72.95,4.1,11590,0
2575,7118,63.82,2.4,9513,0
14871,19005,21.75,1.6,17744,0
5752,7929,27.45,4.3,242,0
2796,17771,84.26,3.2,10536,0
1998,18144,88.99,4.5,8332,0
11151,13205,15.55,2.1,3148,0
2262,15500,85.41,2.5,6006,1
7339,8255,11.09,3.8,8448,0
1825,3693,50.57,3.8,19280,0
7883,8894,11.36,3.4,3604,0
8514,11648,26.91,2.0,3081,0
6357,7339,13.37,4.5,1800,0
1797,3495,48.56,1.8,2960,0
1281,4435,71.11,2.1,13374,0
1695,9038,81.24,4.5,17851,0
7630,18514,58.79,4.6,834,0
9642,18168,46.93,4.1,7590,0
526,1919,72.54,3.6,3123,0
5613,6268,10.44,2.9,16487,0
12597,14014,10.1,4.5,5329,0
14208,19548,27.32,2.1,165,0
8709,14983,41.87,1.8,9488,0
8774,16596,47.13,4.8,12295,0
3942,14416,72.65,2.3,8627,0
15099,16202,6.81,3.6,16146,0
